Wells Fargo (billions USD)
14.8595
14.757228
15.123679
15.673273
16.10648
16.402569
16.906594
17.131701
17.744023
18.150985
18.560309
18.858874
19.357068
20.903447
21.77001
23.048256
23.54675
23.933918
28.067892
27.986051
27.352166
26.48412
25.442229
24.735965
23.611272
22.995167
22.01468
21.278235
20.799696
20.486546
20.322004
20.598014
20.908714
21.137491
21.413131
21.329176
18.782023
17.564657
17.405084
17.211252
33.838048
31.910617
30.77233
29.759715
29.772342
29.036398
29.179941
27.98376
27.168317
26.888994
62.864
55.752
56.501
56.444
61.609
59.459
68.298
73.449
81.651
88.634
95.852
102.623
114.074
115.968
120.422
139.547
156.663
174.057
177.329
189.318
185.184
194.069
209.45
206.899
208.933
210.764
209.96
214.998
220.467
214.994
200.31
203.619
202.795
206.729
218.84
223.635
231.334
236.905
238.291
238.144
520.586
533.144
528.375
512.441
509.505
514.57
506.237
502.076
504.915
