Bank of America (billions USD)
25.01
24.4
23.815
22.127
21.254
20.731
20.231
20.236
20.586
21.454
22.227
22.925
24.471
25.94
27.736
28.89
31.868
35.434
35.189
35.577
35.693
36.28
38.298
38.903
64.256
64.105
60.694
60.693
59.65
59.222
59.529
59.558
60.537
62.804
63.897
64.894
66.117
66.865
67.496
68.733
69.548
69.49
70.063
68.289
68.759
67.296
64.576
62.835
62.259
140.279
141.627
146.373
147.014
160.699
168.915
179.487
191.141
194.148
180.903
179.272
182.22
169.001
149.891
155.541
177.309
183.735
189.746
195.996
218.804
225.449
217.683441
225.955584
285.952456
295.798959
299.425459
305.956162
305.889128
320.243818
327.113042
335.812702
376.897449
387.605814
404.43395
435.101156
451.181532
461.800453
504.558347
498.621366
469.775628
550.86203
541.131597
573.878977
565.359333
540.508565
542.939023
532.002859
528.297825
507.964331
518.297087
