JP Morgan (billions USD)
6.324452
6.979625
7.53
7.792
11.741
11.88
12.662
12.468
12.375
10.256
9.508
11.758
11.761
12.12
12.567
12.498
12.875
12.932
12.808
12.853
13.196
13.729
18.229
18.848
19.53
19.635
20.585
20.995
20.703
20.005
20.333
20.131
19.7
20.151
20.192
20.692
23.445
24.231
23.549
44.543
44.084
43.61
44.422
44.21
44.751
47.518
45.894
49.502
47.695
46.231
47.649
47.633
47.47
47.215
49.543
49.445
52.426
53.437
56.907
61.179
63.494
61.48
64.132
59.188
56.759
60.518
68.085
70.746
78.491
88.824
77.573
79.637
88.309
150.21
156.215
155.825
167.768
170.969
169.541
170.009
179.415
178.936
186.437
181.31
190.493
190.724
198.461
180.56
181.742
370.617
367.711
361.79
351.695
343.127
334.263
330.466
321.995
317.808
310.542
